Film,Comedy,Drama,Romantic,Animation,Romance,Fantasy,Action,Adventure,Fiction,Science,Thriller,Crime,Family,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,index,rating_J,rating_H
The Ugly Truth,1,0,1,0,0,0,0,0,0,0,0,0,0,Independent,68,5.402631579,14,$205.30,12,1,0
X-Men,0,0,0,0,0,0,1,0,1,1,1,0,0,20th Century Studios,4,3.1,44,$11,64,1,1
No Reservations,1,0,0,0,0,0,0,0,0,0,0,0,0,Warner Bros.,64,3.307180357,39,$92.60,30,1,0
Love Happens,0,1,0,0,0,0,0,0,0,0,0,0,0,Universal,40,2.004444444,18,$36.08,33,1,0
Valentine's Day,1,0,1,0,0,0,0,0,0,0,0,0,0,Warner Bros,54,4.184038462,17,$217.57,9,1,0
High School Musical 3: Senior Year,1,0,0,0,0,0,0,0,0,0,0,0,0,Disney,76,22.91313646,65,$252.04,41,1,0
The Twilight Saga: New Moon,0,1,0,0,0,0,0,0,0,0,0,0,0,Summit,78,14.1964,27,$709.82,13,1,0
Love & Other Drugs,1,0,0,0,0,0,0,0,0,0,0,0,0,Fox,55,1.817666667,48,$54.53,34,1,0
P.S. I Love You,1,0,1,0,0,0,0,0,0,0,0,0,0,Independent,82,5.103116833,21,$153.09,25,1,0
When in Rome,1,0,1,0,0,0,0,0,0,0,0,0,0,Disney,44,0.0,15,$43.04,3,1,0
The Heartbreak Kid,1,0,1,0,0,0,0,0,0,0,0,0,0,Paramount,41,2.129444167,30,$127.77,17,0,0
I Love You Phillip Morris,1,0,0,0,0,0,0,0,0,0,0,0,0,Independent,57,1.34,71,$20.10,40,1,0
Waiting For Forever,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,53,1.005,6,$2.03,8,0,0
WALL-E,0,0,0,1,0,0,0,0,1,1,0,0,0,Disney,89,2.896019067,96,$521.28,6,1,1
Alice in Wonderland,0,0,0,0,0,1,0,1,0,0,0,0,1,Walt Disney Pictures,22,3.4,44,$33,63,0,1
What Happens in Vegas,1,0,1,0,0,0,0,0,0,0,0,0,0,Fox,72,6.267647029,28,$219.37,4,1,1
Across the Universe,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,84,0.652603178,54,$29.37,48,0,0
Letters to Juliet,1,0,0,0,0,0,0,0,0,0,0,0,0,Summit,62,2.639333333,40,$79.18,36,1,0
The Curious Case of Benjamin Button,0,0,0,0,0,1,0,0,0,0,0,0,0,Warner Bros.,81,1.78394375,73,$285.43,19,0,0
Infinite,0,0,0,0,0,0,1,0,1,1,0,0,0,Paramount Pictures,33,2.1,77,$11,55,0,1
Superman Returns,0,0,0,0,0,1,1,0,1,1,0,0,0,Warner Bros,33,3.2,22,$11,58,0,1
Laal Singh Chaddha,1,1,0,0,0,0,0,0,0,0,0,0,0,Paramount Pictures,66,3.1,44,$54,56,0,0
Avatar,0,0,0,0,0,0,1,1,1,0,0,0,0,Paramount Pictures,22,6.3,33,$22,50,1,1
Midnight in Paris,0,0,0,0,1,0,0,0,0,0,0,0,0,Sony,84,8.744705882,93,$148.66,31,1,1
Fireproof,0,1,0,0,0,0,0,0,0,0,0,0,0,Independent,51,66.934,40,$33.47,44,0,0
Iron Man 3,0,0,0,0,0,0,1,1,1,1,0,0,0,Columbia Pictures,22,4.1,11,$22,62,1,1
The Proposal,1,1,0,0,0,0,0,0,0,0,0,0,0,Disney,74,7.8675,43,$314.70,15,1,1
Our Family Wedding,1,0,1,0,0,0,0,0,0,0,0,0,0,Independent,49,0.0,14,$21.37,27,1,0
Over Her Dead Body,1,0,1,0,0,0,0,0,0,0,0,0,0,New Line,47,2.071,15,$20.71,26,1,0
Sex and the City 2,1,0,0,0,0,0,0,0,0,0,0,0,0,Warner Bros.,49,2.8835,15,$288.35,24,1,0
Beginners,1,0,0,0,0,0,0,0,0,0,0,0,0,Independent,80,4.471875,84,$14.31,47,1,0
Twilight: Breaking Dawn,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,68,6.383363636,26,$702.17,11,1,0
Marley and Me,1,0,0,0,0,0,0,0,0,0,0,0,0,Fox,77,3.746781818,63,$206.07,32,1,0
Pirates of the Caribbean,0,0,0,0,0,1,1,1,0,0,0,0,0,Walt Disney Pictures,55,5.4,33,$22,59,1,1
Dear John,0,1,1,0,0,0,0,0,0,0,0,0,0,Sony,66,4.5988,29,$114.97,46,1,0
Just Wright,1,0,0,0,0,0,0,0,0,0,0,0,0,Fox,58,1.797416667,45,$21.57,37,1,0
Not Easily Broken,0,1,0,0,0,0,0,0,0,0,0,0,0,Independent,66,2.14,34,$10.70,29,1,0
Gnomeo and Juliet,1,0,1,1,0,0,0,0,0,0,0,0,0,Disney,52,5.387972222,56,$193.97,43,1,0
The Fallout,0,1,0,0,0,0,0,0,0,0,0,0,0,Warner Bros,75,6.2,50,$23,49,0,1
Youth in Revolt,1,1,1,0,0,0,0,0,0,0,0,0,0,The Weinstein Company,52,1.09,68,$19.62,1,1,0
Tangled,1,0,0,0,0,1,0,1,0,0,0,0,0,Disney,88,1.365692308,89,$355.01,21,1,1
You Will Meet a Tall Dark Stranger,1,1,0,0,0,0,0,0,0,0,0,0,0,Independent,35,1.211818182,43,$26.66,2,0,0
Spider-Man,0,0,0,0,0,1,1,1,0,0,0,0,0,Columbia Pictures,44,2.1,33,$44,52,1,1
It's Complicated,1,0,0,0,0,0,0,0,0,0,0,0,0,Universal,63,2.642352941,56,$224.60,39,1,0
License to Wed,1,0,0,0,0,0,0,0,0,0,0,0,0,Warner Bros,55,1.9802064,8,$69.31,35,1,0
She's Out of My League,1,0,1,0,0,0,0,0,0,0,0,0,0,Paramount,60,2.4405,57,$48.81,23,1,0
Green Bones,0,1,0,0,0,0,0,0,0,0,0,0,0,Columbia Pictures,11,3.1,33,$22,54,0,1
Why Did I get Married,1,1,0,0,0,0,0,0,0,0,0,0,0,Independent,47,3.7241924,46,$55.86,10,0,0
Something Borrowed,1,0,1,0,0,0,0,0,0,0,0,0,0,Independent,48,1.719514286,15,$60.18,22,1,0
The Duchess,0,1,0,0,0,0,0,0,0,0,0,0,0,Paramount,68,3.207850222,60,$43.31,18,1,0
The Contractor,0,0,0,0,0,0,1,0,0,0,1,0,0,Paramount Pictures,7,2.1,5,$22,57,0,1
Jane Eyre,0,1,1,0,0,0,0,0,0,0,0,0,0,Universal,77,0.0,85,$30.15,38,1,0
The Back-up Plan,1,0,1,0,0,0,0,0,0,0,0,0,0,CBS,47,2.202571429,20,$77.09,20,0,1
Waitress,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,67,11.0897415,89,$22.18,7,0,0
He's Just Not That Into You,1,0,0,0,0,0,0,0,0,0,0,0,0,Warner Bros,60,7.1536,42,$178.84,42,0,0
The Time Traveler's Wife,0,1,0,0,0,0,0,0,0,0,0,0,0,Paramount,65,2.598205128,38,$101.33,14,0,0
One Day,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,54,3.682733333,37,$55.24,28,1,0
Superman Returns,0,0,0,0,0,1,1,1,1,1,0,0,0,Warner Bros,22,5.5,67,$11,51,0,1
